Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
298,Sacred Heart,MAAC,31,13-18,82.4,98.7,0.1107,43.1,45.2,28,22.2,33,31,35.7,28.1,42.4,46.2,30,28.9,28.8,35.3,65.6,-15
299,Mount St. Mary's,MAAC,30,15-15,80.4,96.4,0.1106,42,44,25,25.3,32.2,32.9,27.4,31.8,42.2,42.4,27.8,31.2,33.3,37.5,70.3,-12.5
300,New Hampshire,AE,30,20-Oct,80.4,96.5,0.1085,42.6,45.4,23.4,18,22.7,27.4,25.9,26.3,43,44.2,27.9,31.9,31.5,31.5,66,-17.2
301,New Mexico St.,CUSA,30,21-Sep,79,95,0.1067,43,47,28.9,23.7,27.7,33.4,23.2,37.5,43.5,47.2,27.7,31.1,24.1,34.4,70.7,-18.2
302,Northeastern,CAA,29,22-Jul,85,102.7,0.1017,43.3,48.2,25.4,22.5,33.4,33.7,30.8,29.5,43.3,47.7,28.8,32.7,26.7,36.4,67.8,-20.7
303,Portland St.,BSky,31,25-Jun,87.7,106.5,0.0971,42.6,48.9,24.1,18.4,29.8,34.9,34.2,26.7,43.9,48.8,26.3,32.8,29,30.4,69.1,-21.7
304,Milwaukee,Horz,32,24-Aug,85.2,103.5,0.097,45.1,47.4,23.8,17.7,25.7,28,28.9,32.3,42.7,47.7,32.7,31.3,37.9,38.9,67.1,-21.5
305,Winthrop,BSth,32,15-17,83.8,102.1,0.0938,44,50.1,24.3,27.6,30.6,36.7,33.7,30.5,45.4,48.2,26.8,35.4,27.1,38.8,71,-13.5
306,Detroit Mercy,Horz,31,24-Jul,84.6,103.1,0.0938,42.6,50.6,22.5,22.1,29.3,30.6,32,32.2,43.7,51.3,26.7,32.8,29.8,35,70.8,-20.8
307,Bucknell,Pat,30,19-Nov,78.8,96.1,0.0925,42.4,44.7,23,21.6,22.7,32.3,22.4,25.1,43.4,44.8,27,29.6,37.3,35.9,63.4,-16.7
308,Marist,MAAC,31,20-Nov,81.9,100.4,0.0878,42.6,46.1,23.7,21.8,25.2,34,26,24.8,39.3,45.8,32.3,31.1,36.1,33,67.4,-17.1
309,Grambling St.,SWAC,32,13-19,77.6,95.2,0.0877,38.1,44.7,25.3,29.8,36.7,37.3,32.2,40,39.6,43.6,22.9,31.8,28.3,27.6,71.8,-16.7
310,Eastern Illinois,OVC,31,27-Apr,80.9,99.3,0.086,40.9,48.7,24.4,19.6,25.1,31.8,25.1,30.8,39.4,47.9,29,33.6,36.4,30.3,69,-22.7
311,San Jose St.,MWC,32,28-Apr,78.5,96.5,0.0855,39.1,46,25.5,19.7,23.8,36.9,28.3,24.2,37.5,44.6,27.4,32,44.8,41.8,72,-22.8
312,Tennessee St.,OVC,29,24-May,80.7,99.3,0.0838,41.2,48.7,27.3,21.5,29.1,34.7,32.4,33.8,40.6,46.9,28.5,34.8,28.7,32.9,73.7,-20.5
313,Louisiana,SB,31,26-May,80.5,100,0.0765,37.8,48.9,25.8,23.7,31.6,39.1,27.2,30.3,38.3,49.7,23.7,31.8,21.3,40.5,69.9,-22.4
314,Houston Christian,Slnd,29,21-Aug,77.4,96.1,0.0765,42.8,46.8,27.5,24.5,28.6,33.8,31.1,30.2,45.3,46.6,26,31.4,38.5,35,68.2,-18.3
315,Buffalo,MAC,30,27-Mar,79.8,99.2,0.076,40.8,48,28.3,22.7,35.8,33.5,26.6,30,42.4,49.5,24.6,30,28.4,33.4,72,-23.5
316,North Dakota,Sum,31,24-Jul,80.8,100.5,0.0748,43.7,49.3,27.5,16.5,19.3,27,31.8,25.4,47.7,46.2,26.2,37.1,47.6,32.5,71.4,-19.7
317,Long Beach St.,BW,30,25-May,82.1,102.3,0.0737,41.5,48.4,26.3,18.5,26.6,32.5,26.8,26.6,41,49.6,28.2,30.9,36.5,38.3,68.8,-21.3
318,Dartmouth,Ivy,27,17-Oct,83.6,104.3,0.0729,40.8,48.7,25.1,19,28.8,38.6,26.6,15.2,40.2,48.9,27.8,32.3,38.9,34.1,64.7,-13.7
319,Queens,ASun,30,20-Oct,79.6,99.6,0.0707,40.7,48.8,24.4,22.8,28.2,31.7,26.1,30.5,38,49.5,30.2,31.5,36.8,32.7,69.3,-17.2
320,Cal Poly,BW,30,26-Apr,81.2,101.6,0.07,41.2,49.8,28.5,18.9,26.8,33.3,30.4,34.9,41.3,51.1,27.4,31.9,28.5,40.1,69.2,-21.1
321,Seattle,WCC,30,25-May,82.8,103.8,0.0691,41.4,50.5,24.6,18.9,23.3,35.4,24.5,25.4,42,49.9,26.9,34.5,35.1,31.9,71.7,-21.2
322,Alabama St.,SWAC,32,17-15,76.6,96.1,0.0689,41.7,42.2,31.4,23.6,37.3,33.3,34,39.6,42.3,41,26.6,29.9,25.6,30.6,72.4,-10.3
323,Alcorn St.,SWAC,30,17-13,74.8,94.1,0.0669,40.8,43.4,26.8,26.4,29.1,36.8,27.9,34.1,40.4,44.9,27.7,27.1,34.7,34.3,66.9,-9.2
324,Mercyhurst,NEC,31,15-16,90.3,113.8,0.0656,46.9,54.4,21.7,24.6,26.7,39.1,27.5,28.6,44.3,54.5,33,36.1,49.3,29.7,67.7,-12.2
325,American,Pat,30,23-Jul,80.6,102.5,0.0591,42,48.2,22.5,18.9,26.3,30.2,23.8,20.5,42.4,49.2,27.6,30.9,40.8,34,67.4,-21.2
326,UNC Asheville,BSth,30,18-Dec,76.7,97.7,0.0586,40.6,43.2,30.4,24.4,38.1,33,33.5,34,40.7,44.3,27,27.1,31.9,31,69,-17.4
327,Colgate,Pat,31,24-Jul,77.7,98.9,0.0585,39.4,46.4,24.5,19.7,30.1,32.1,20,26.6,39.1,48,26.7,29,33.1,34.4,66.2,-21.5
328,Hampton,CAA,31,21-Oct,81.8,104.7,0.0559,40.8,46.6,21.4,23.9,29.9,40.3,23,25.6,39.8,47.4,28.4,30,36,29.9,67.1,-19.8
329,UNC Wilmington,CAA,31,24-Jul,80.7,103.3,0.0549,43.8,46.8,28,21.2,29.3,38.3,29.4,26.5,42.4,46.4,31,31.7,33.8,32.6,68.7,-22.1
330,North Carolina Central,MEAC,29,20-Sep,73.7,94.5,0.0544,38.9,44.3,28.6,27.8,28.4,34.1,39.2,45.4,36.4,42.4,30.8,32.4,25.8,30.9,76.2,-16.4
331,Southeastern Louisiana,Slnd,29,24-May,84,108.2,0.0517,40.6,50.5,22.4,21.9,29.1,43,25.3,27.4,38.4,54.2,29.8,29.6,35.4,37.8,66.5,-20.1
332,Gardner Webb,BSth,31,19-Dec,76.7,99.2,0.0493,44,47.6,26.9,29.6,28.3,41.1,22.4,29.9,41.8,48.2,31.5,31.2,41.6,44.1,65.9,-17.5
333,Wagner,NEC,30,13-17,72.1,93.5,0.048,40.1,43.3,26.5,28,30.7,33.9,32.6,38.1,41.3,41.9,24,30.5,23.7,35.5,69.6,-14.8
334,Stonehill,NEC,30,18-Dec,80.7,104.9,0.0468,44.1,48.3,26.3,20.7,34.1,30.9,24.1,23.8,44.6,48.3,28.8,32.1,31.3,31.5,66.8,-15.9
335,Nebraska Omaha,Sum,33,27-Jun,79.4,103.3,0.0466,39.1,51.4,28.2,17.5,27.6,35.7,24.3,31.3,36,52.4,28.8,33.3,42.7,38.7,67.9,-21.8
336,Rider,MAAC,29,22-Jul,75.9,98.7,0.0462,40.9,43.9,25.6,22.3,30.1,33,19.4,30.9,43.3,42.7,25,30.7,40.6,34.9,65.9,-20.6
337,Jackson St.,SWAC,31,19-Dec,76.7,100.3,0.044,39.8,46.5,27.1,22.8,36.2,30.5,28.1,37.3,36.8,47.8,30.5,29.2,33.3,32.1,66.6,-15.4
338,Texas A&M Corpus Chris,Slnd,29,23-Jun,77.6,101.6,0.043,42.7,44.8,30.6,18.4,32,34.2,34.6,33.5,42.3,43.4,29,31.6,37.3,36.9,66.8,-20.5
339,Arkansas Pine Bluff,SWAC,31,15-16,82.2,108.2,0.0404,42.2,47,26.1,24.9,33.9,37.4,34.8,32.1,41.8,49,28.7,28.9,28.1,34.3,68.5,-13.9
340,Florida A&M,SWAC,31,22-Sep,80.7,107.2,0.0368,37.9,46,25.2,24.3,33,39.4,36.6,39.2,39,45.1,23,32.2,22.8,28.6,69.8,-20
341,Delaware St.,MEAC,30,23-Jul,76.2,101.3,0.0366,40.7,46.2,28.5,25.2,26.9,34.5,29.1,41.6,39.6,45.3,29.3,32.4,25.6,28.9,68.1,-20.8
342,USC Upstate,BSth,32,20-Dec,76.7,102.1,0.0361,43.7,45.2,33.5,18.5,36.9,29.4,24.3,27.3,41.2,43.8,32.6,31.5,32.2,41,66.1,-17.1
343,Canisius,MAAC,29,24-May,77.1,102.9,0.0353,43.6,46.4,34.2,19.7,35.5,35.5,34.1,25.7,44.5,47.8,27.7,28.8,30.3,30.4,67.2,-20.6
344,Chicago St.,NEC,32,23-Sep,80.8,107.8,0.0349,43,48.9,24.4,24.2,28.4,38.4,31.9,37.9,43.8,50.4,27.2,30.7,27.4,34.4,72.9,-20.3
345,Charleston Southern,BSth,30,22-Aug,81.8,109.3,0.0344,44.9,47.7,23.5,18.3,22.9,35.4,23.4,26,42.1,45.9,32.1,34,46.7,34,69,-18.4
346,Saint Peter's,MAAC,30,23-Jul,75.8,101.5,0.0337,38.8,47.2,24.9,23.8,26.9,37.8,27.2,25.4,37.9,45.8,26.9,32.9,37.6,42,64.8,-21
347,Morgan St.,MEAC,31,26-May,80.5,108.2,0.0321,38.5,49,27.2,22.2,25.6,40.2,35.4,33.8,36.2,51.7,29.7,29,27.5,32.7,67.6,-22
348,UMass Lowell,AE,29,21-Aug,80.1,107.9,0.0314,41,49.9,26.4,19.6,30.9,38.1,21.7,24.2,42.7,48.7,26,35.1,44.7,31.7,65.1,-19.4
349,New Haven,NEC,29,22-Jul,77.6,105.2,0.0293,42.1,47,27.3,22.1,35.9,31.3,24.4,26.7,41.4,45.8,29.2,32.6,31.3,39.3,64.4,-20.9
350,Le Moyne,NEC,33,21-Dec,78.8,108.1,0.0257,43.2,48.1,27.1,18,28.9,33.2,26.9,25,40.6,48.2,31.6,32,38.4,39.1,66.1,-17.7
351,New Orleans,Slnd,30,27-Mar,78.1,107.3,0.0254,38.7,50.5,25.3,22.5,30.7,40,29.4,29.8,39.2,49.7,25,34.7,30.9,36.4,75.7,-23.6
352,Bethune Cookman,SWAC,33,26-Jul,76.8,105.8,0.0244,38.9,46.1,29.9,24.1,33.4,37,34.9,40.4,37.5,46.9,28.6,29.6,25.5,30.7,67.1,-23.1
353,Texas Southern,SWAC,31,21-Oct,79.2,109.2,0.0242,40.5,46,26.6,22,32.7,37.8,37.2,38.2,42.6,45.9,24.4,30.7,35.1,28.4,73.1,-17.2
354,Western Carolina,SC,29,26-Mar,75.6,104.8,0.023,39,49.3,29.8,22.4,28.9,35.4,33.3,30.5,37.9,47.3,27.3,35.1,34.6,37.1,68.3,-23.4
355,Valparaiso,MVC,32,0-32,73.8,103.3,0.0205,37.7,49.6,24.7,16.5,23.1,33.2,25.7,30.3,37.7,48.5,25,34.6,39,34.3,73.7,-29.1
356,Mississippi Valley St.,SWAC,31,23-Aug,74.5,107,0.0155,37.6,45.6,28,22.7,33,39.3,38.1,39,39.2,44.7,22.8,31.9,31.2,29,75.2,-19.7
357,Saint Francis,NEC,30,27-Mar,74.4,108.5,0.0128,40,48.3,24.9,20.6,29,33.3,25.5,30.3,40.4,50.1,26.3,29.9,34.9,35.2,70.5,-26
358,Central Connecticut,NEC,29,27-Feb,73.7,110.2,0.0096,37.7,49.9,24,21.7,24.3,35.1,27.1,31.3,38.4,50.9,23.5,32.2,23.5,39.3,70.1,-25
359,Niagara,MAAC,29,28-Jan,70.1,105.8,0.0087,36.1,52.5,31.1,28,30,42.9,28.6,35,35.1,52.3,25.9,35.3,27.6,31.8,74.1,-24.7
360,South Carolina St.,MEAC,30,25-May,68.1,106,0.0061,36.7,47.2,28.9,24.7,25.5,40.4,24.2,38.1,35.9,46.3,25.8,32.7,30.6,34,70.9,-22.7
361,Presbyterian,BSth,30,27-Mar,71.6,113.3,0.0051,36.4,53.9,30.1,23.9,31.7,37.1,32.8,40.1,37.2,54.1,22.8,35.6,26.1,29.4,68.9,-25.4
362,Prairie View A&M,SWAC,30,28-Feb,67.8,109,0.0042,37.2,45,26.6,21.7,23.2,44.4,30.6,30.8,36.8,47,25.4,26.4,35.8,27.6,73.4,-25.1
363,Bellarmine,ASun,32,Feb-30,71.4,115.7,0.0039,36.1,52.5,28.8,17.1,21.2,39.7,29.9,24.4,34.5,55.2,26,32.9,36.6,44.7,69.6,-24.7
